,value,question
0,Oral Comprehension_a,The ability to listen to and understand information and ideas presented through spoken words and sentences.
1,Inductive Reasoning_a,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
2,Near Vision_a,The ability to see details at close range (within a few feet of the observer).
3,Oral Expression_a,The ability to communicate information and ideas in speaking so others will understand.
4,Information Ordering_a,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
5,Written Comprehension_a,The ability to read and understand information and ideas presented in writing.
6,Written Expression_a,The ability to communicate information and ideas in writing so others will understand.
7,Deductive Reasoning_a,The ability to apply general rules to specific problems to produce answers that make sense.
8,Problem Sensitivity_a,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing that there is a problem."
9,Category Flexibility_a,The ability to generate or use different sets of rules for combining or grouping things in different ways.
10,Speech Recognition_a,The ability to identify and understand the speech of another person.
11,Speech Clarity_a,The ability to speak clearly so others can understand you.
12,Selective Attention_a,The ability to concentrate on a task over a period of time without being distracted.
13,Flexibility of Closure_a,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
14,Fluency of Ideas_a,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
15,Mathematical Reasoning_a,The ability to choose the right mathematical methods or formulas to solve a problem.
16,Number Facility_a,"The ability to add, subtract, multiply, or divide quickly and correctly."
17,Perceptual Speed_a,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."
18,Visualization_a,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
19,Arm-Hand Steadiness_a,The ability to keep your hand and arm steady while moving your arm or while holding your arm and hand in one position.
20,Finger Dexterity_a,"The ability to make precisely coordinated movements of the fingers of one or both hands to grasp, manipulate, or assemble very small objects."
21,Visual Color Discrimination_a,"The ability to match or detect differences between colors, including shades of color and brightness."
22,Originality_a,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
23,Manual Dexterity_a,"The ability to quickly move your hand, your hand together with your arm, or your two hands to grasp, manipulate, or assemble objects."
24,Far Vision_a,The ability to see details at a distance.
25,Speed of Closure_a,"The ability to quickly make sense of, combine, and organize information into meaningful patterns."
26,Control Precision_a,The ability to quickly and repeatedly adjust the controls of a machine or a vehicle to exact positions.
27,Multilimb Coordination_a,"The ability to coordinate two or more limbs (for example, two arms, two legs, or one leg and one arm) while sitting, standing, or lying down. It does not involve performing the activities while the whole body is in motion."
28,Memorization_a,"The ability to remember information such as words, numbers, pictures, and procedures."
29,Time Sharing_a,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources)."
30,Wrist-Finger Speed_a,"The ability to make fast, simple, repeated movements of the fingers, hands, and wrists."
31,Static Strength_a,"The ability to exert maximum muscle force to lift, push, pull, or carry objects."
32,Trunk Strength_a,"The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without ""giving out"" or fatiguing."
33,Auditory Attention_a,The ability to focus on a single source of sound in the presence of other distracting sounds.
34,Dynamic Strength_a,The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.
35,Hearing Sensitivity_a,The ability to detect or tell the differences between sounds that vary in pitch and loudness.
36,Response Orientation_a,"The ability to choose quickly between two or more movements in response to two or more different signals (lights, sounds, pictures). It includes the speed with which the correct response is started with the hand, foot, or other body part."
37,Reaction Time_a,"The ability to quickly respond (with the hand, finger, or foot) to a signal (sound, light, picture) when it appears."
38,Stamina_a,The ability to exert yourself physically over long periods of time without getting winded or out of breath.
39,Extent Flexibility_a,"The ability to bend, stretch, twist, or reach with your body, arms, and/or legs."
40,Depth Perception_a,"The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object."
41,Gross Body Coordination_a,"The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion."
42,Gross Body Equilibrium_a,The ability to keep or regain your body balance or stay upright when in an unstable position.
43,Rate Control_a,The ability to time your movements or the movement of a piece of equipment in anticipation of changes in the speed and/or direction of a moving object or scene.
44,Explosive Strength_a,"The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object."
45,Spatial Orientation_a,The ability to know your location in relation to the environment or to know where other objects are in relation to you.
46,Speed of Limb Movement_a,The ability to quickly move the arms and legs.
47,Night Vision_a,The ability to see under low-light conditions.
48,Glare Sensitivity_a,The ability to see objects in the presence of a glare or bright lighting.
49,Sound Localization_a,The ability to tell the direction from which a sound originated.
